Timestamp, Message, Committer, Added, Removed, File
"1502887339", "MATH1429 UnitSphereRandomVectorGenerator replaced by UnitSphereSamplerFunctionality moved to Commons RNG  httpsissuesapacheorgjirabrowseRNG39", "Gilles", 7,7,src/test/java/org/apache/commons/math4/geometry/euclidean/threed/FieldRotationDSTest.java
"1502887339", "MATH1429 UnitSphereRandomVectorGenerator replaced by UnitSphereSamplerFunctionality moved to Commons RNG  httpsissuesapacheorgjirabrowseRNG39", "Gilles", 8,8,src/test/java/org/apache/commons/math4/geometry/euclidean/threed/FieldRotationDfpTest.java
"1502887339", "MATH1429 UnitSphereRandomVectorGenerator replaced by UnitSphereSamplerFunctionality moved to Commons RNG  httpsissuesapacheorgjirabrowseRNG39", "Gilles", 6,8,src/test/java/org/apache/commons/math4/geometry/euclidean/threed/SphereGeneratorTest.java
"1502887339", "MATH1429 UnitSphereRandomVectorGenerator replaced by UnitSphereSamplerFunctionality moved to Commons RNG  httpsissuesapacheorgjirabrowseRNG39", "Gilles", 6,7,src/test/java/org/apache/commons/math4/geometry/euclidean/twod/DiskGeneratorTest.java
"1502887339", "MATH1429 UnitSphereRandomVectorGenerator replaced by UnitSphereSamplerFunctionality moved to Commons RNG  httpsissuesapacheorgjirabrowseRNG39", "Gilles", 8,8,src/test/java/org/apache/commons/math4/geometry/spherical/twod/CircleTest.java
"1502887339", "MATH1429 UnitSphereRandomVectorGenerator replaced by UnitSphereSamplerFunctionality moved to Commons RNG  httpsissuesapacheorgjirabrowseRNG39", "Gilles", 26,26,src/test/java/org/apache/commons/math4/geometry/spherical/twod/SphericalPolygonsSetTest.java
"1502887339", "MATH1429 UnitSphereRandomVectorGenerator replaced by UnitSphereSamplerFunctionality moved to Commons RNG  httpsissuesapacheorgjirabrowseRNG39", "Gilles", 0,70,src/test/java/org/apache/commons/math4/random/UnitSphereRandomVectorGeneratorTest.java
"1502757160", "Stop trying to build with JDK7 on TravisSee  httpmarkmailorgmessagercayzpntymt4ci34", "Gilles", 0,1,.travis.yml
"1502327093", "Plugins update", "Gilles", 4,4,pom.xml
"1502322005", "Update mavenjgitbuildnumberplugin", "Gilles", 2,2,pom.xml
"1502282262", "Unused import", "Gilles", 0,1,src/main/java/org/apache/commons/math4/geometry/euclidean/twod/Line.java
"1502281976", "MATH1426 Add constructor that takes a Double argumentThanks to Karl Richter", "Gilles", 3,0,pom.xml
"1502281976", "MATH1426 Add constructor that takes a Double argumentThanks to Karl Richter", "Gilles", 3,0,src/changes/changes.xml
"1502281976", "MATH1426 Add constructor that takes a Double argumentThanks to Karl Richter", "Gilles", 17,0,src/main/java/org/apache/commons/math4/stat/descriptive/DescriptiveStatistics.java
"1502281976", "MATH1426 Add constructor that takes a Double argumentThanks to Karl Richter", "Gilles", 93,0,src/test/java/org/apache/commons/math4/stat/descriptive/DescriptiveStatisticsTest.java
"1502279761", "Javadoc", "Gilles", 1,1,src/main/java/org/apache/commons/math4/stat/descriptive/DescriptiveStatistics.java
